State,Quarter,Start Date,Colonies,Max Colonies,Lost,Percent Lost,Added,Renovated,Percent Renovated,Varroa Mites,Other Pests and Parasites,Diseases,Pesticides,Other Stressors,Unknown Stressors,CCD Losses,Avg_PM2.5,Avg_CO,Avg_NO2,Avg_Ozone,Avg_SO2
Washington,January-March 2024,"January 1, 2024",50000,114000,6500,6,1100,570,1,18.4,,,,2.8,8.8,,6.033762,0.166554,14.097778,0.029707,0.221522
West Virginia,January-March 2024,"January 1, 2024",5000,6500,640,10,700,10,(Z),12.9,2.4,(Z),,3.9,2.0,,6.915010,0.208634,,0.029058,0.902934
Wisconsin,January-March 2024,"January 1, 2024",31000,57000,1600,3,420,120,(Z),11.3,1.7,0.6,(Z),1.7,2.7,,6.631488,0.246940,8.988387,0.033600,0.429060
Wyoming,January-March 2024,"January 1, 2024",1900,13000,490,4,,10,(Z),21.0,(Z),,,20.0,0.9,,2.689941,0.124465,2.029097,0.036972,0.430597
Alabama,April-June 2024,"April 1, 2024",12000,13500,1400,10,3500,2700,20,70.1,23.2,3.6,2.4,5.3,1.3,,8.045057,0.106989,7.138982,0.031745,0.682861
Arizona,April-June 2024,"April 1, 2024",30000,36000,13500,38,18500,7000,19,11.7,(Z),(Z),1.0,1.0,,,6.262121,0.221308,10.089694,0.046607,0.389005
Arkansas,April-June 2024,"April 1, 2024",20000,28000,2800,10,5500,430,2,34.4,14.6,2.7,12.7,15.0,8.6,,9.332854,0.128510,3.832455,0.035388,0.287378
California,April-June 2024,"April 1, 2024",920000,960000,58000,6,164000,113000,12,53.8,29.9,1.7,29.0,16.2,4.4,,7.208151,0.236295,6.090715,0.039408,0.233091
Colorado,April-June 2024,"April 1, 2024",10500,18500,290,2,1100,450,2,1.2,,,(Z),0.9,(Z),,4.357826,0.212235,5.101737,0.047333,0.404958
Connecticut,April-June 2024,"April 1, 2024",4100,4100,140,3,960,770,19,6.3,1.1,(Z),(Z),2.5,(Z),,5.506777,0.208030,8.269317,0.038741,0.112534
Florida,April-June 2024,"April 1, 2024",305000,310000,37000,12,57000,12500,4,42.2,15.8,4.3,14.6,12.9,4.8,,7.278029,0.267855,6.958442,0.034416,0.807304
Georgia,April-June 2024,"April 1, 2024",132000,145000,13000,9,17000,10500,7,31.3,11.6,1.7,2.6,9.4,2.3,,8.878040,0.415000,12.169206,0.033739,1.014844
Idaho,April-June 2024,"April 1, 2024",112000,130000,8000,6,8000,29000,22,32.7,6.6,3.0,1.2,12.2,(Z),,4.071329,0.131805,4.463015,0.039517,1.588918
Illinois,April-June 2024,"April 1, 2024",8500,8500,800,9,4000,1700,20,32.0,13.4,0.6,0.6,3.6,3.2,,6.020131,0.188010,11.518282,0.038038,0.633628
Indiana,April-June 2024,"April 1, 2024",9500,12500,420,3,3200,1000,8,21.9,13.6,(Z),,1.8,1.7,,6.650914,0.290037,5.269521,0.038068,0.673338
Iowa,April-June 2024,"April 1, 2024",45000,56000,3300,6,6000,9000,16,17.1,7.9,3.3,(Z),7.8,1.2,,5.331365,0.166874,2.924262,0.038770,0.509164
Kansas,April-June 2024,"April 1, 2024",4100,6000,740,12,2200,960,16,42.0,5.8,2.2,21.5,1.4,2.7,,6.826902,,3.723449,0.038851,0.229038
Kentucky,April-June 2024,"April 1, 2024",15000,15000,1200,8,930,550,4,42.0,3.0,2.0,2.7,(Z),5.0,,6.354828,0.258920,6.025447,0.036079,0.984951
Louisiana,April-June 2024,"April 1, 2024",36000,46000,1900,4,9000,300,1,7.7,1.6,,1.0,17.0,1.1,,8.852952,0.287694,4.610715,0.031842,0.603136
Maine,April-June 2024,"April 1, 2024",8500,9500,850,9,1100,370,4,3.1,(Z),(Z),1.2,,(Z),,4.626550,0.143873,3.729073,0.032650,0.005674
Maryland,April-June 2024,"April 1, 2024",6000,6000,320,5,2900,700,12,26.9,0.6,,0.5,0.9,1.1,,5.317617,0.161971,7.350328,0.038013,0.151131
Massachusetts,April-June 2024,"April 1, 2024",4900,5500,220,4,790,630,11,6.6,0.8,0.5,,2.1,(Z),,4.952669,0.217187,5.125381,0.035526,0.310085
Michigan,April-June 2024,"April 1, 2024",87000,95000,8000,8,21000,15500,16,24.4,10.5,9.7,7.6,4.2,4.8,,6.252132,0.361535,7.984644,0.038033,0.918350
Minnesota,April-June 2024,"April 1, 2024",106000,112000,2000,2,20000,11000,10,24.4,2.4,0.9,0.8,0.5,0.5,,4.756721,0.275976,5.079019,0.034812,0.887673
Mississippi,April-June 2024,"April 1, 2024",49000,49000,4500,9,12500,6000,12,4.7,1.3,,(Z),(Z),14.2,,7.753323,0.234681,3.041965,0.035452,0.486348
Missouri,April-June 2024,"April 1, 2024",10500,12500,540,4,2000,480,4,13.5,7.1,0.5,0.5,2.1,6.0,,6.377943,0.239340,8.005460,0.038275,0.851930
Montana,April-June 2024,"April 1, 2024",24000,92000,520,1,11000,10000,11,10.6,(Z),1.4,3.4,(Z),,,3.676834,0.158138,1.592109,0.035659,1.219523
Nebraska,April-June 2024,"April 1, 2024",15500,29000,1200,4,10000,7500,26,5.9,1.1,0.7,(Z),0.7,3.5,,4.260572,0.201846,,0.038964,0.444931
New Jersey,April-June 2024,"April 1, 2024",14500,15000,710,5,2300,640,4,16.6,3.0,1.5,1.0,0.9,0.7,,6.526293,0.275846,10.262274,0.036309,0.442049
New Mexico,April-June 2024,"April 1, 2024",2000,2000,290,15,1100,540,27,26.7,(Z),,1.1,(Z),2.1,,6.549713,0.148915,4.261601,0.045122,0.302672
New York,April-June 2024,"April 1, 2024",31000,50000,1600,3,3500,3000,6,39.3,6.7,2.8,3.0,3.5,6.0,,6.086013,0.200338,9.087732,0.035404,0.662288
North Carolina,April-June 2024,"April 1, 2024",26000,26000,1700,7,6000,5000,19,16.2,3.5,(Z),(Z),0.8,1.0,,7.430031,0.241066,5.947428,0.036658,-0.102884
North Dakota,April-June 2024,"April 1, 2024",49000,457000,17500,4,7500,21000,5,41.8,11.9,3.0,(Z),17.5,1.4,,4.391641,0.132188,2.170293,0.036250,1.070737
Ohio,April-June 2024,"April 1, 2024",26000,26000,660,3,4900,4700,18,35.0,4.6,0.5,4.6,21.9,1.3,,7.272235,0.229569,7.751919,0.038084,0.580641
Oklahoma,April-June 2024,"April 1, 2024",13000,15500,1300,8,7500,4100,26,13.4,2.3,1.9,1.5,7.8,(Z),,8.576799,0.350103,5.720552,0.039395,0.307436
Oregon,April-June 2024,"April 1, 2024",95000,105000,9000,9,21000,13500,13,5.3,0.9,3.5,2.2,(Z),,,3.728883,0.155801,6.473142,0.030664,0.296064
Pennsylvania,April-June 2024,"April 1, 2024",22000,25000,1600,6,5500,1500,6,30.1,10.7,1.2,7.7,2.0,1.8,,6.831414,0.284221,5.833575,0.036261,0.681173
South Carolina,April-June 2024,"April 1, 2024",13500,14500,470,3,2300,4900,34,31.6,26.7,1.9,8.2,5.4,1.2,,7.959002,0.065761,4.302724,0.036155,-0.015184
South Dakota,April-June 2024,"April 1, 2024",21000,217000,8000,4,17000,1900,1,14.0,7.5,(Z),12.7,1.5,(Z),,4.044357,0.176721,4.327622,0.037452,0.239195
Tennessee,April-June 2024,"April 1, 2024",11000,12000,760,6,1900,640,5,52.0,5.1,,0.7,4.9,2.8,,7.596210,0.261065,5.559542,0.036455,1.026501
Texas,April-June 2024,"April 1, 2024",290000,300000,38000,13,43000,74000,25,43.9,40.9,(Z),0.5,5.6,0.6,,13.377575,0.309658,4.629662,0.034501,1.343994
Utah,April-June 2024,"April 1, 2024",16500,20000,1500,8,4400,2000,10,9.6,(Z),2.4,1.2,0.7,8.8,,4.993622,0.146781,3.693018,0.044100,0.449261
Vermont,April-June 2024,"April 1, 2024",8000,10500,130,1,270,320,3,5.6,1.1,1.1,,0.5,(Z),,4.364879,0.177963,3.448669,0.034846,0.193872
Virginia,April-June 2024,"April 1, 2024",9000,11000,450,4,3000,2100,19,20.5,7.4,5.8,(Z),6.7,0.9,,6.472869,0.195391,5.702119,0.035121,0.356280
Washington,April-June 2024,"April 1, 2024",106000,128000,6000,5,20000,2400,2,54.0,11.7,2.3,9.8,19.1,11.6,,3.808367,0.133759,10.188719,0.031389,0.288648
West Virginia,April-June 2024,"April 1, 2024",6500,7000,460,7,1200,1200,17,13.5,2.4,0.5,1.2,5.1,0.8,,6.905871,0.171927,,0.034261,1.166387
Wisconsin,April-June 2024,"April 1, 2024",55000,67000,3800,6,16000,11000,16,30.0,11.3,11.1,3.9,5.2,16.5,,4.764000,0.204611,5.520875,0.037393,0.341785
Wyoming,April-June 2024,"April 1, 2024",12000,25000,1400,6,7500,1800,7,2.4,1.3,(Z),(Z),,2.6,,2.557819,0.105859,1.420889,0.043078,0.349092
California,July-September 2024,"July 1, 2024",600000,630000,36000,6,8000,43000,7,35.0,18.8,17.3,9.1,4.6,3.0,,8.438234,0.274885,7.673439,0.040132,0.386322
Florida,July-September 2024,"July 1, 2024",290000,295000,32000,11,39000,17500,6,34.8,16.7,4.1,11.0,8.2,4.1,,6.934941,0.323258,6.983177,0.024789,0.943387
Georgia,July-September 2024,"July 1, 2024",148000,153000,35000,23,34000,17000,11,31.9,14.6,4.9,7.3,18.2,10.5,,8.446526,0.413514,10.922153,0.029153,1.055390
Idaho,July-September 2024,"July 1, 2024",116000,155000,10000,6,6500,12000,8,25.7,(Z),0.8,3.9,(Z),5.2,,13.418433,0.258734,7.395621,0.041335,2.283679
Iowa,July-September 2024,"July 1, 2024",54000,55000,6000,11,1000,1000,2,37.5,15.2,2.0,1.0,4.8,0.9,,7.564518,0.200282,2.231665,0.032184,0.439097
Louisiana,July-September 2024,"July 1, 2024",48000,48000,6500,14,6000,1700,4,17.8,2.2,(Z),1.7,(Z),2.6,,8.863456,0.325838,4.225734,0.025515,0.478714
Michigan,July-September 2024,"July 1, 2024",96000,97000,8000,8,4500,10000,10,31.3,9.0,8.8,14.5,5.8,5.1,,8.024334,0.442846,8.069945,0.032432,0.754088
Minnesota,July-September 2024,"July 1, 2024",117000,120000,10500,9,5000,1800,2,21.1,1.5,(Z),5.1,2.1,3.6,,8.846938,0.303907,4.925462,0.029119,0.623669
Mississippi,July-September 2024,"July 1, 2024",18500,21000,3400,16,320,70,(Z),46.4,8.4,6.8,10.1,5.3,14.7,,8.776274,0.241909,2.815979,0.029661,0.556267
Montana,July-September 2024,"July 1, 2024",101000,115000,7500,7,1600,4200,4,35.6,0.6,3.4,6.8,3.2,1.0,,10.404953,0.204994,1.656980,0.035405,0.920374
New York,July-September 2024,"July 1, 2024",50000,51000,4600,9,1600,1800,4,24.1,12.7,8.2,6.4,13.6,6.4,,7.933552,0.228103,8.221220,0.031590,0.380567
North Carolina,July-September 2024,"July 1, 2024",26000,28000,2800,10,1300,1700,6,14.0,6.7,1.1,0.7,1.7,1.7,,7.558028,0.251934,5.231555,0.029033,0.032717
North Dakota,July-September 2024,"July 1, 2024",445000,460000,18500,4,7500,14000,3,37.5,12.7,1.9,3.0,6.0,3.3,,13.231835,0.173092,1.871346,0.036197,1.102307
Ohio,July-September 2024,"July 1, 2024",25000,26000,1100,4,1000,1500,6,34.1,14.5,(Z),7.3,4.0,3.7,,8.670477,0.243822,8.497808,0.034978,0.685475
Oregon,July-September 2024,"July 1, 2024",113000,130000,29000,22,3100,21000,16,66.2,3.8,7.0,19.5,2.5,(Z),,9.990810,0.158464,6.523933,0.029570,0.332286
Pennsylvania,July-September 2024,"July 1, 2024",28000,29000,1900,7,1400,970,3,27.1,13.1,1.1,4.8,4.1,4.9,,7.667117,0.289044,5.585310,0.033435,0.686267
South Dakota,July-September 2024,"July 1, 2024",225000,225000,15000,7,110,3000,1,18.1,5.9,(Z),5.5,2.3,1.7,,8.448126,0.227884,6.194676,0.037866,0.324745
Texas,July-September 2024,"July 1, 2024",88000,107000,7000,7,1200,1300,1,14.6,3.5,0.7,1.3,16.1,3.0,,9.749126,0.310678,5.290839,0.032322,0.579200
Washington,July-September 2024,"July 1, 2024",62000,92000,5000,5,600,2700,3,21.1,(Z),(Z),(Z),1.4,(Z),,6.578297,0.136108,12.798290,0.027467,0.366777
Wisconsin,July-September 2024,"July 1, 2024",80000,80000,15500,19,2100,5500,7,55.3,34.0,7.4,3.5,1.8,0.6,,6.730993,0.227178,5.495144,0.033267,0.170288
California,October-December 2024,"October 1, 2024",580000,950000,88000,9,46000,48000,5,30.1,3.3,4.5,4.5,4.0,8.2,,9.432988,0.420418,12.596008,0.028108,0.494060
Florida,October-December 2024,"October 1, 2024",275000,310000,43000,14,36000,11500,4,29.3,13.1,6.0,13.8,22.6,6.7,,6.466856,0.324700,9.382394,0.030488,0.825391
Georgia,October-December 2024,"October 1, 2024",146000,153000,31000,20,23000,4200,3,32.0,15.3,3.1,3.6,19.4,12.6,,9.202178,0.472062,13.599041,0.027367,1.257525
Idaho,October-December 2024,"October 1, 2024",148000,225000,25000,11,60,660,(Z),40.6,16.6,7.2,11.3,2.9,2.9,,10.181755,0.214689,9.854765,0.026784,2.246511
Iowa,October-December 2024,"October 1, 2024",51000,51000,4200,8,10,140,(Z),9.8,(Z),1.8,1.3,1.4,3.6,,7.394965,0.168450,3.401805,0.031172,0.311764
Louisiana,October-December 2024,"October 1, 2024",42000,48000,10000,21,50,320,1,8.7,2.0,,1.2,(Z),4.1,,8.177122,0.355122,5.312817,0.027377,0.651584
Michigan,October-December 2024,"October 1, 2024",87000,91000,8000,9,140,410,(Z),26.7,2.0,8.4,7.3,6.7,3.8,,6.992672,0.406334,10.083745,0.027428,1.077319
Minnesota,October-December 2024,"October 1, 2024",116000,116000,8500,7,600,12000,10,23.1,5.2,(Z),8.0,1.3,2.9,,6.327329,0.302461,5.736325,0.026067,0.597838
Mississippi,October-December 2024,"October 1, 2024",18000,34000,8000,24,60,,(X),9.0,11.3,18.6,1.0,(Z),5.4,,9.244386,0.267032,4.327444,0.031488,0.651395
Montana,October-December 2024,"October 1, 2024",95000,99000,15500,16,1000,,(X),25.8,,1.8,18.5,9.8,0.7,,5.783178,0.159978,2.244630,0.024549,0.678017
New York,October-December 2024,"October 1, 2024",44000,46000,3200,7,630,1000,2,31.5,7.1,2.5,1.9,2.9,3.6,,5.830768,0.231463,12.101551,0.025482,0.576316
North Carolina,October-December 2024,"October 1, 2024",26000,26000,2900,11,570,2100,8,20.7,11.2,(Z),1.1,1.9,2.9,,7.202568,0.327129,7.911817,0.027223,0.231537
North Dakota,October-December 2024,"October 1, 2024",360000,365000,19000,5,2200,14000,4,34.2,2.0,6.8,2.7,1.8,1.2,,5.381259,0.151275,2.564556,0.025929,1.140765
Ohio,October-December 2024,"October 1, 2024",26000,26000,3200,12,200,3100,12,53.5,6.6,1.8,1.6,4.2,8.2,,7.582323,0.198070,9.575254,0.028487,0.734213
Oregon,October-December 2024,"October 1, 2024",103000,104000,18000,17,5000,4800,5,45.8,1.1,(Z),3.9,(Z),1.6,,7.957824,0.249813,8.708945,0.015427,0.526433
Pennsylvania,October-December 2024,"October 1, 2024",29000,29000,2000,7,360,580,2,30.3,13.3,2.7,7.3,4.4,2.3,,6.876788,0.301588,8.605747,0.024103,0.828897
South Dakota,October-December 2024,"October 1, 2024",199000,200000,20000,10,200,2200,1,12.6,(Z),1.1,19.7,0.6,0.8,,6.584131,0.183598,5.158686,0.027028,0.087000
Texas,October-December 2024,"October 1, 2024",101000,190000,17000,9,1900,390,(Z),27.8,11.1,5.9,8.4,8.0,4.7,,7.953139,0.341381,8.270641,0.028531,0.949264
Washington,October-December 2024,"October 1, 2024",87000,106000,14000,13,3600,9000,8,34.5,14.3,4.5,3.8,0.7,11.8,,6.979109,0.169149,13.133817,0.027159,0.179722
Wisconsin,October-December 2024,"October 1, 2024",56000,56000,8500,15,260,230,(Z),24.4,0.7,6.9,(Z),1.7,4.9,,6.053239,0.237330,8.364631,0.029003,0.197417
