State,Start Date,Quarter,Colonies,Max Colonies,Lost,Percent Lost,Added,Renovated,Percent Renovated
Idaho,"April 1, 2024",April-June 2024,112000,130000,8000,6,8000,29000,22
Illinois,"April 1, 2024",April-June 2024,8500,8500,800,9,4000,1700,20
Indiana,"April 1, 2024",April-June 2024,9500,12500,420,3,3200,1000,8
Iowa,"April 1, 2024",April-June 2024,45000,56000,3300,6,6000,9000,16
Kansas,"April 1, 2024",April-June 2024,4100,6000,740,12,2200,960,16
Kentucky,"April 1, 2024",April-June 2024,15000,15000,1200,8,930,550,4
Louisiana,"April 1, 2024",April-June 2024,36000,46000,1900,4,9000,300,1
Maine,"April 1, 2024",April-June 2024,8500,9500,850,9,1100,370,4
Maryland,"April 1, 2024",April-June 2024,6000,6000,320,5,2900,700,12
Massachusetts,"April 1, 2024",April-June 2024,4900,5500,220,4,790,630,11
Michigan,"April 1, 2024",April-June 2024,87000,95000,8000,8,21000,15500,16
Minnesota,"April 1, 2024",April-June 2024,106000,112000,2000,2,20000,11000,10
Mississippi,"April 1, 2024",April-June 2024,49000,49000,4500,9,12500,6000,12
Missouri,"April 1, 2024",April-June 2024,10500,12500,540,4,2000,480,4
Montana,"April 1, 2024",April-June 2024,24000,92000,520,1,11000,10000,11
Nebraska,"April 1, 2024",April-June 2024,15500,29000,1200,4,10000,7500,26
New Jersey,"April 1, 2024",April-June 2024,14500,15000,710,5,2300,640,4
New Mexico,"April 1, 2024",April-June 2024,2000,2000,290,15,1100,540,27
New York,"April 1, 2024",April-June 2024,31000,50000,1600,3,3500,3000,6
North Carolina,"April 1, 2024",April-June 2024,26000,26000,1700,7,6000,5000,19
North Dakota,"April 1, 2024",April-June 2024,49000,457000,17500,4,7500,21000,5
Ohio,"April 1, 2024",April-June 2024,26000,26000,660,3,4900,4700,18
Oklahoma,"April 1, 2024",April-June 2024,13000,15500,1300,8,7500,4100,26
Oregon,"April 1, 2024",April-June 2024,95000,105000,9000,9,21000,13500,13
Pennsylvania,"April 1, 2024",April-June 2024,22000,25000,1600,6,5500,1500,6
South Carolina,"April 1, 2024",April-June 2024,13500,14500,470,3,2300,4900,34
South Dakota,"April 1, 2024",April-June 2024,21000,217000,8000,4,17000,1900,1
Tennessee,"April 1, 2024",April-June 2024,11000,12000,760,6,1900,640,5
Texas,"April 1, 2024",April-June 2024,290000,300000,38000,13,43000,74000,25
Utah,"April 1, 2024",April-June 2024,16500,20000,1500,8,4400,2000,10
Vermont,"April 1, 2024",April-June 2024,8000,10500,130,1,270,320,3
Virginia,"April 1, 2024",April-June 2024,9000,11000,450,4,3000,2100,19
Washington,"April 1, 2024",April-June 2024,106000,128000,6000,5,20000,2400,2
West Virginia,"April 1, 2024",April-June 2024,6500,7000,460,7,1200,1200,17
Wisconsin,"April 1, 2024",April-June 2024,55000,67000,3800,6,16000,11000,16
Wyoming,"April 1, 2024",April-June 2024,12000,25000,1400,6,7500,1800,7
Other States,"April 1, 2024",April-June 2024,5,16970,28035,1460,5,2500,2110
United States,"April 1, 2024",April-June 2024,2819070,(X),257430,9,560550,400390,14
California,"July 1, 2024",July-September 2024,600000,630000,36000,6,8000,43000,7
Florida,"July 1, 2024",July-September 2024,290000,295000,32000,11,39000,17500,6
Georgia,"July 1, 2024",July-September 2024,148000,153000,35000,23,34000,17000,11
Idaho,"July 1, 2024",July-September 2024,116000,155000,10000,6,6500,12000,8
Iowa,"July 1, 2024",July-September 2024,54000,55000,6000,11,1000,1000,2
Louisiana,"July 1, 2024",July-September 2024,48000,48000,6500,14,6000,1700,4
Michigan,"July 1, 2024",July-September 2024,96000,97000,8000,8,4500,10000,10
Minnesota,"July 1, 2024",July-September 2024,117000,120000,10500,9,5000,1800,2
Mississippi,"July 1, 2024",July-September 2024,18500,21000,3400,16,320,70,(Z)
Montana,"July 1, 2024",July-September 2024,101000,115000,7500,7,1600,4200,4
New York,"July 1, 2024",July-September 2024,50000,51000,4600,9,1600,1800,4
North Carolina,"July 1, 2024",July-September 2024,26000,28000,2800,10,1300,1700,6
North Dakota,"July 1, 2024",July-September 2024,445000,460000,18500,4,7500,14000,3
Ohio,"July 1, 2024",July-September 2024,25000,26000,1100,4,1000,1500,6
Oregon,"July 1, 2024",July-September 2024,113000,130000,29000,22,3100,21000,16
Pennsylvania,"July 1, 2024",July-September 2024,28000,29000,1900,7,1400,970,3
South Dakota,"July 1, 2024",July-September 2024,225000,225000,15000,7,110,3000,1
Texas,"July 1, 2024",July-September 2024,88000,107000,7000,7,1200,1300,1
Washington,"July 1, 2024",July-September 2024,62000,92000,5000,5,600,2700,3
Wisconsin,"July 1, 2024",July-September 2024,80000,80000,15500,19,2100,5500,7
Other States,"July 1, 2024",July-September 2024,5,365110,397510,42040,11,23920,22750
United States,"July 1, 2024",July-September 2024,3095610,(X),297340,10,149750,184490,6
California,"October 1, 2024",October-December 2024,580000,950000,88000,9,46000,48000,5
Florida,"October 1, 2024",October-December 2024,275000,310000,43000,14,36000,11500,4
Georgia,"October 1, 2024",October-December 2024,146000,153000,31000,20,23000,4200,3
Idaho,"October 1, 2024",October-December 2024,148000,225000,25000,11,60,660,(Z)
Iowa,"October 1, 2024",October-December 2024,51000,51000,4200,8,10,140,(Z)
Louisiana,"October 1, 2024",October-December 2024,42000,48000,10000,21,50,320,1
Michigan,"October 1, 2024",October-December 2024,87000,91000,8000,9,140,410,(Z)
Minnesota,"October 1, 2024",October-December 2024,116000,116000,8500,7,600,12000,10
Mississippi,"October 1, 2024",October-December 2024,18000,34000,8000,24,60,,(X)
Montana,"October 1, 2024",October-December 2024,95000,99000,15500,16,1000,,(X)
New York,"October 1, 2024",October-December 2024,44000,46000,3200,7,630,1000,2
North Carolina,"October 1, 2024",October-December 2024,26000,26000,2900,11,570,2100,8
North Dakota,"October 1, 2024",October-December 2024,360000,365000,19000,5,2200,14000,4
Ohio,"October 1, 2024",October-December 2024,26000,26000,3200,12,200,3100,12
Oregon,"October 1, 2024",October-December 2024,103000,104000,18000,17,5000,4800,5
Pennsylvania,"October 1, 2024",October-December 2024,29000,29000,2000,7,360,580,2
South Dakota,"October 1, 2024",October-December 2024,199000,200000,20000,10,200,2200,1
Texas,"October 1, 2024",October-December 2024,101000,190000,17000,9,1900,390,(Z)
Washington,"October 1, 2024",October-December 2024,87000,106000,14000,13,3600,9000,8
Wisconsin,"October 1, 2024",October-December 2024,56000,56000,8500,15,260,230,(Z)
Other States,"October 1, 2024",October-December 2024,5,343040,454980,54270,12,6190,4550
United States,"October 1, 2024",October-December 2024,2932040,(X),403270,14,128030,119180,4
California,"January 1, 2025",January-March 2025,910000,1260000,83000,7,182500,64000,5
Florida,"January 1, 2025",January-March 2025,305000,320000,40000,13,49000,16500,5
Georgia,"January 1, 2025",January-March 2025,144000,146000,26000,18,57000,8000,5
Idaho,"January 1, 2025",January-March 2025,159000,200000,11000,6,5000,3100,2
Iowa,"January 1, 2025",January-March 2025,39000,49000,3900,8,7000,,(X)
Louisiana,"January 1, 2025",January-March 2025,38000,80000,6500,8,8500,3900,5
Michigan,"January 1, 2025",January-March 2025,65000,85500,3100,4,16000,100,(Z)
Minnesota,"January 1, 2025",January-March 2025,65000,97500,1700,2,10000,290,(Z)
Mississippi,"January 1, 2025",January-March 2025,25000,60000,4000,7,14500,8000,13
Montana,"January 1, 2025",January-March 2025,30000,48000,200,(Z),4500,150,(Z)
New York,"January 1, 2025",January-March 2025,39000,50000,2500,5,6500,580,1
North Carolina,"January 1, 2025",January-March 2025,24000,28000,2500,9,4000,4600,16
North Dakota,"January 1, 2025",January-March 2025,73000,96000,7500,8,7300,410,(Z)
Ohio,"January 1, 2025",January-March 2025,20000,28000,1800,6,5000,290,1
Oregon,"January 1, 2025",January-March 2025,57000,105500,9000,9,20500,19000,18
Pennsylvania,"January 1, 2025",January-March 2025,22000,29500,1000,3,6000,370,1
South Dakota,"January 1, 2025",January-March 2025,66000,80000,4600,6,1500,40,(Z)
Texas,"January 1, 2025",January-March 2025,162000,356000,19000,5,65000,22000,6
Washington,"January 1, 2025",January-March 2025,68000,100000,2500,3,10500,1600,2
Wisconsin,"January 1, 2025",January-March 2025,39000,48000,3000,6,8290,70,(Z)
Other States,"January 1, 2025",January-March 2025,5,283700,366410,34460,9,103580,5710
United States,"January 1, 2025",January-March 2025,2633700,(X),267260,10,592170,158710,6
California,"April 1, 2025",April-June 2025,820000,840000,80000,10,185000,131000,16
Florida,"April 1, 2025",April-June 2025,325000,325000,38000,12,38000,39000,12
Georgia,"April 1, 2025",April-June 2025,155000,156000,25000,16,35000,21000,13
Idaho,"April 1, 2025",April-June 2025,114000,132000,8000,6,5600,15500,12
Iowa,"April 1, 2025",April-June 2025,45000,56000,3700,7,9000,8000,14
Louisiana,"April 1, 2025",April-June 2025,81000,81000,15500,19,8000,11500,14
Michigan,"April 1, 2025",April-June 2025,84000,87000,6500,7,20000,22000,25
Minnesota,"April 1, 2025",April-June 2025,95000,104000,6000,6,14500,11000,11
Mississippi,"April 1, 2025",April-June 2025,70000,71000,3000,4,9000,4500,6
Montana,"April 1, 2025",April-June 2025,47000,100000,9500,10,7000,9000,9
New York,"April 1, 2025",April-June 2025,38000,53000,2000,4,14000,3900,7
North Carolina,"April 1, 2025",April-June 2025,27000,27000,2300,9,6500,3500,13
North Dakota,"April 1, 2025",April-June 2025,71000,395000,13000,3,12000,21000,5
Ohio,"April 1, 2025",April-June 2025,25000,25000,2200,9,8500,4900,20
Oregon,"April 1, 2025",April-June 2025,105000,106000,5500,5,27000,14500,14
Pennsylvania,"April 1, 2025",April-June 2025,25000,30000,930,3,8500,2700,9
South Dakota,"April 1, 2025",April-June 2025,36000,220000,6000,3,2600,11000,5
Texas,"April 1, 2025",April-June 2025,365000,380000,23000,6,68000,73000,19
Washington,"April 1, 2025",April-June 2025,100000,113000,7500,7,15000,19500,17
Wisconsin,"April 1, 2025",April-June 2025,44000,55000,2800,5,10500,8500,15
Other States,"April 1, 2025",April-June 2025,5,315310,363840,32200,9,137910,51190
United States,"April 1, 2025",April-June 2025,2987310,(X),292630,10,641610,486190,16
