State,Quarter,Start Date,Colonies,Max Colonies,Lost,Percent Lost,Added,Renovated,Percent Renovated,Varroa Mites,Other Pests and Parasites,Diseases,Pesticides,Other Stressors,Unknown Stressors,CCD Losses
Maryland,January-March 2024,"January 1, 2024",5000,5000,660,13,1700,920,18,24.7,12.4,(Z),,7.1,,
Massachusetts,January-March 2024,"January 1, 2024",4800,5600,650,12,500,640,11,3.7,0.8,(Z),,0.6,2.6,
Michigan,January-March 2024,"January 1, 2024",69000,90000,3000,3,10000,,(X),4.3,0.6,0.5,1.1,1.0,1.4,
Minnesota,January-March 2024,"January 1, 2024",25000,100000,830,1,10000,210,(Z),1.9,(Z),1.1,,2.0,0.5,
Mississippi,January-March 2024,"January 1, 2024",28000,42000,3700,9,10500,1500,4,25.0,7.5,3.9,4.1,3.1,7.8,
Missouri,January-March 2024,"January 1, 2024",9500,11500,1100,10,1000,40,(Z),15.0,2.1,0.6,0.5,7.5,3.5,
Montana,January-March 2024,"January 1, 2024",36000,41000,50,(Z),6000,,(X),(Z),,,,,(Z),
Nebraska,January-March 2024,"January 1, 2024",17500,19500,1200,6,5000,,(X),14.8,,,,(Z),0.8,
New Jersey,January-March 2024,"January 1, 2024",12500,17000,1200,7,1500,320,2,20.7,3.2,,,1.7,4.1,
New Mexico,January-March 2024,"January 1, 2024",4300,4300,1200,28,500,,(X),91.9,0.5,74.0,,0.7,(Z),
New York,January-March 2024,"January 1, 2024",40000,40000,2300,6,1500,350,1,21.5,4.8,10.5,1.7,4.8,1.8,
North Carolina,January-March 2024,"January 1, 2024",25000,27000,5500,20,5000,3100,11,29.2,1.2,(Z),,1.6,2.5,
North Dakota,January-March 2024,"January 1, 2024",65000,78000,8500,11,9500,,(X),23.6,,,,7.1,3.5,
Ohio,January-March 2024,"January 1, 2024",15000,26000,2100,8,2500,150,1,35.3,9.7,2.1,1.7,5.4,3.1,
Oklahoma,January-March 2024,"January 1, 2024",17500,18000,2200,12,3000,320,2,34.0,18.8,3.3,1.1,1.0,0.9,
Oregon,January-March 2024,"January 1, 2024",90000,101000,8000,8,12300,5500,5,24.3,1.5,22.6,22.3,,(Z),
Other States,January-March 2024,"January 1, 2024",5,17350,26150,1030,4,2650,660,29.3,15.8,0.8,,5.7,(Z),
Pennsylvania,January-March 2024,"January 1, 2024",24000,26000,2800,11,2130,600,2,16.5,2.3,1.9,,3.2,5.7,
South Carolina,January-March 2024,"January 1, 2024",14000,14000,870,6,2800,820,6,36.1,7.4,(Z),1.8,3.3,3.5,
South Dakota,January-March 2024,"January 1, 2024",68000,78000,2000,3,5000,50,(Z),10.7,2.7,2.7,(Z),,(Z),
Tennessee,January-March 2024,"January 1, 2024",11500,11500,1700,15,1300,170,1,13.6,5.4,(Z),0.7,2.1,10.4,
Texas,January-March 2024,"January 1, 2024",205000,290000,28000,10,67000,46000,16,22.2,5.6,0.9,4.5,1.8,2.7,
United States,January-March 2024,"January 1, 2024",2669350,(X),395310,15,520050,215070,8,31.8,11.0,7.8,9.0,7.7,6.7,70650
Utah,January-March 2024,"January 1, 2024",10000,17500,980,6,460,120,1,13.2,5.3,6.6,0.7,(Z),4.5,
Vermont,January-March 2024,"January 1, 2024",7000,7500,230,3,730,20,(Z),6.8,1.2,(Z),0.8,4.0,1.7,
Virginia,January-March 2024,"January 1, 2024",7000,10500,1200,11,640,200,2,21.0,7.5,1.4,1.1,4.4,3.1,
Washington,January-March 2024,"January 1, 2024",50000,114000,6500,6,1100,570,1,18.4,,,,2.8,8.8,
West Virginia,January-March 2024,"January 1, 2024",5000,6500,640,10,700,10,(Z),12.9,2.4,(Z),,3.9,2.0,
Wisconsin,January-March 2024,"January 1, 2024",31000,57000,1600,3,420,120,(Z),11.3,1.7,0.6,(Z),1.7,2.7,
Wyoming,January-March 2024,"January 1, 2024",1900,13000,490,4,,10,(Z),21.0,(Z),,,20.0,0.9,
Alabama,April-June 2024,"April 1, 2024",12000,13500,1400,10,3500,2700,20,70.1,23.2,3.6,2.4,5.3,1.3,
Arizona,April-June 2024,"April 1, 2024",30000,36000,13500,38,18500,7000,19,11.7,(Z),(Z),1.0,1.0,,
Arkansas,April-June 2024,"April 1, 2024",20000,28000,2800,10,5500,430,2,34.4,14.6,2.7,12.7,15.0,8.6,
California,April-June 2024,"April 1, 2024",920000,960000,58000,6,164000,113000,12,53.8,29.9,1.7,29.0,16.2,4.4,
Colorado,April-June 2024,"April 1, 2024",10500,18500,290,2,1100,450,2,1.2,,,(Z),0.9,(Z),
Connecticut,April-June 2024,"April 1, 2024",4100,4100,140,3,960,770,19,6.3,1.1,(Z),(Z),2.5,(Z),
Florida,April-June 2024,"April 1, 2024",305000,310000,37000,12,57000,12500,4,42.2,15.8,4.3,14.6,12.9,4.8,
Georgia,April-June 2024,"April 1, 2024",132000,145000,13000,9,17000,10500,7,31.3,11.6,1.7,2.6,9.4,2.3,
Idaho,April-June 2024,"April 1, 2024",112000,130000,8000,6,8000,29000,22,32.7,6.6,3.0,1.2,12.2,(Z),
Illinois,April-June 2024,"April 1, 2024",8500,8500,800,9,4000,1700,20,32.0,13.4,0.6,0.6,3.6,3.2,
Indiana,April-June 2024,"April 1, 2024",9500,12500,420,3,3200,1000,8,21.9,13.6,(Z),,1.8,1.7,
Iowa,April-June 2024,"April 1, 2024",45000,56000,3300,6,6000,9000,16,17.1,7.9,3.3,(Z),7.8,1.2,
Kansas,April-June 2024,"April 1, 2024",4100,6000,740,12,2200,960,16,42.0,5.8,2.2,21.5,1.4,2.7,
Kentucky,April-June 2024,"April 1, 2024",15000,15000,1200,8,930,550,4,42.0,3.0,2.0,2.7,(Z),5.0,
Louisiana,April-June 2024,"April 1, 2024",36000,46000,1900,4,9000,300,1,7.7,1.6,,1.0,17.0,1.1,
Maine,April-June 2024,"April 1, 2024",8500,9500,850,9,1100,370,4,3.1,(Z),(Z),1.2,,(Z),
Maryland,April-June 2024,"April 1, 2024",6000,6000,320,5,2900,700,12,26.9,0.6,,0.5,0.9,1.1,
Massachusetts,April-June 2024,"April 1, 2024",4900,5500,220,4,790,630,11,6.6,0.8,0.5,,2.1,(Z),
Michigan,April-June 2024,"April 1, 2024",87000,95000,8000,8,21000,15500,16,24.4,10.5,9.7,7.6,4.2,4.8,
Minnesota,April-June 2024,"April 1, 2024",106000,112000,2000,2,20000,11000,10,24.4,2.4,0.9,0.8,0.5,0.5,
Mississippi,April-June 2024,"April 1, 2024",49000,49000,4500,9,12500,6000,12,4.7,1.3,,(Z),(Z),14.2,
Missouri,April-June 2024,"April 1, 2024",10500,12500,540,4,2000,480,4,13.5,7.1,0.5,0.5,2.1,6.0,
Montana,April-June 2024,"April 1, 2024",24000,92000,520,1,11000,10000,11,10.6,(Z),1.4,3.4,(Z),,
Nebraska,April-June 2024,"April 1, 2024",15500,29000,1200,4,10000,7500,26,5.9,1.1,0.7,(Z),0.7,3.5,
New Jersey,April-June 2024,"April 1, 2024",14500,15000,710,5,2300,640,4,16.6,3.0,1.5,1.0,0.9,0.7,
New Mexico,April-June 2024,"April 1, 2024",2000,2000,290,15,1100,540,27,26.7,(Z),,1.1,(Z),2.1,
New York,April-June 2024,"April 1, 2024",31000,50000,1600,3,3500,3000,6,39.3,6.7,2.8,3.0,3.5,6.0,
North Carolina,April-June 2024,"April 1, 2024",26000,26000,1700,7,6000,5000,19,16.2,3.5,(Z),(Z),0.8,1.0,
North Dakota,April-June 2024,"April 1, 2024",49000,457000,17500,4,7500,21000,5,41.8,11.9,3.0,(Z),17.5,1.4,
Ohio,April-June 2024,"April 1, 2024",26000,26000,660,3,4900,4700,18,35.0,4.6,0.5,4.6,21.9,1.3,
Oklahoma,April-June 2024,"April 1, 2024",13000,15500,1300,8,7500,4100,26,13.4,2.3,1.9,1.5,7.8,(Z),
Oregon,April-June 2024,"April 1, 2024",95000,105000,9000,9,21000,13500,13,5.3,0.9,3.5,2.2,(Z),,
Other States,April-June 2024,"April 1, 2024",5,16970,28035,1460,5,2500,2110,31.2,30.0,29.0,2.7,8.7,4.2,
Pennsylvania,April-June 2024,"April 1, 2024",22000,25000,1600,6,5500,1500,6,30.1,10.7,1.2,7.7,2.0,1.8,
South Carolina,April-June 2024,"April 1, 2024",13500,14500,470,3,2300,4900,34,31.6,26.7,1.9,8.2,5.4,1.2,
South Dakota,April-June 2024,"April 1, 2024",21000,217000,8000,4,17000,1900,1,14.0,7.5,(Z),12.7,1.5,(Z),
Tennessee,April-June 2024,"April 1, 2024",11000,12000,760,6,1900,640,5,52.0,5.1,,0.7,4.9,2.8,
Texas,April-June 2024,"April 1, 2024",290000,300000,38000,13,43000,74000,25,43.9,40.9,(Z),0.5,5.6,0.6,
United States,April-June 2024,"April 1, 2024",2819070,(X),257430,9,560550,400390,14,36.6,16.8,2.5,10.7,10.4,3.3,66650
Utah,April-June 2024,"April 1, 2024",16500,20000,1500,8,4400,2000,10,9.6,(Z),2.4,1.2,0.7,8.8,
Vermont,April-June 2024,"April 1, 2024",8000,10500,130,1,270,320,3,5.6,1.1,1.1,,0.5,(Z),
Virginia,April-June 2024,"April 1, 2024",9000,11000,450,4,3000,2100,19,20.5,7.4,5.8,(Z),6.7,0.9,
Washington,April-June 2024,"April 1, 2024",106000,128000,6000,5,20000,2400,2,54.0,11.7,2.3,9.8,19.1,11.6,
West Virginia,April-June 2024,"April 1, 2024",6500,7000,460,7,1200,1200,17,13.5,2.4,0.5,1.2,5.1,0.8,
Wisconsin,April-June 2024,"April 1, 2024",55000,67000,3800,6,16000,11000,16,30.0,11.3,11.1,3.9,5.2,16.5,
Wyoming,April-June 2024,"April 1, 2024",12000,25000,1400,6,7500,1800,7,2.4,1.3,(Z),(Z),,2.6,
California,July-September 2024,"July 1, 2024",600000,630000,36000,6,8000,43000,7,35.0,18.8,17.3,9.1,4.6,3.0,
Florida,July-September 2024,"July 1, 2024",290000,295000,32000,11,39000,17500,6,34.8,16.7,4.1,11.0,8.2,4.1,
Georgia,July-September 2024,"July 1, 2024",148000,153000,35000,23,34000,17000,11,31.9,14.6,4.9,7.3,18.2,10.5,
Idaho,July-September 2024,"July 1, 2024",116000,155000,10000,6,6500,12000,8,25.7,(Z),0.8,3.9,(Z),5.2,
Iowa,July-September 2024,"July 1, 2024",54000,55000,6000,11,1000,1000,2,37.5,15.2,2.0,1.0,4.8,0.9,
Louisiana,July-September 2024,"July 1, 2024",48000,48000,6500,14,6000,1700,4,17.8,2.2,(Z),1.7,(Z),2.6,
Michigan,July-September 2024,"July 1, 2024",96000,97000,8000,8,4500,10000,10,31.3,9.0,8.8,14.5,5.8,5.1,
Minnesota,July-September 2024,"July 1, 2024",117000,120000,10500,9,5000,1800,2,21.1,1.5,(Z),5.1,2.1,3.6,
Mississippi,July-September 2024,"July 1, 2024",18500,21000,3400,16,320,70,(Z),46.4,8.4,6.8,10.1,5.3,14.7,
Montana,July-September 2024,"July 1, 2024",101000,115000,7500,7,1600,4200,4,35.6,0.6,3.4,6.8,3.2,1.0,
New York,July-September 2024,"July 1, 2024",50000,51000,4600,9,1600,1800,4,24.1,12.7,8.2,6.4,13.6,6.4,
North Carolina,July-September 2024,"July 1, 2024",26000,28000,2800,10,1300,1700,6,14.0,6.7,1.1,0.7,1.7,1.7,
North Dakota,July-September 2024,"July 1, 2024",445000,460000,18500,4,7500,14000,3,37.5,12.7,1.9,3.0,6.0,3.3,
Ohio,July-September 2024,"July 1, 2024",25000,26000,1100,4,1000,1500,6,34.1,14.5,(Z),7.3,4.0,3.7,
Oregon,July-September 2024,"July 1, 2024",113000,130000,29000,22,3100,21000,16,66.2,3.8,7.0,19.5,2.5,(Z),
Other States,July-September 2024,"July 1, 2024",5,365110,397510,42040,11,23920,22750,26.9,11.2,0.9,3.9,5.5,2.4,
Pennsylvania,July-September 2024,"July 1, 2024",28000,29000,1900,7,1400,970,3,27.1,13.1,1.1,4.8,4.1,4.9,
South Dakota,July-September 2024,"July 1, 2024",225000,225000,15000,7,110,3000,1,18.1,5.9,(Z),5.5,2.3,1.7,
Texas,July-September 2024,"July 1, 2024",88000,107000,7000,7,1200,1300,1,14.6,3.5,0.7,1.3,16.1,3.0,
United States,July-September 2024,"July 1, 2024",3095610,(X),297340,10,149750,184490,6,32.2,11.5,5.4,6.5,5.6,3.3,114830
Washington,July-September 2024,"July 1, 2024",62000,92000,5000,5,600,2700,3,21.1,(Z),(Z),(Z),1.4,(Z),
Wisconsin,July-September 2024,"July 1, 2024",80000,80000,15500,19,2100,5500,7,55.3,34.0,7.4,3.5,1.8,0.6,
California,October-December 2024,"October 1, 2024",580000,950000,88000,9,46000,48000,5,30.1,3.3,4.5,4.5,4.0,8.2,
Florida,October-December 2024,"October 1, 2024",275000,310000,43000,14,36000,11500,4,29.3,13.1,6.0,13.8,22.6,6.7,
Georgia,October-December 2024,"October 1, 2024",146000,153000,31000,20,23000,4200,3,32.0,15.3,3.1,3.6,19.4,12.6,
Idaho,October-December 2024,"October 1, 2024",148000,225000,25000,11,60,660,(Z),40.6,16.6,7.2,11.3,2.9,2.9,
Iowa,October-December 2024,"October 1, 2024",51000,51000,4200,8,10,140,(Z),9.8,(Z),1.8,1.3,1.4,3.6,
Louisiana,October-December 2024,"October 1, 2024",42000,48000,10000,21,50,320,1,8.7,2.0,,1.2,(Z),4.1,
Michigan,October-December 2024,"October 1, 2024",87000,91000,8000,9,140,410,(Z),26.7,2.0,8.4,7.3,6.7,3.8,
Minnesota,October-December 2024,"October 1, 2024",116000,116000,8500,7,600,12000,10,23.1,5.2,(Z),8.0,1.3,2.9,
Mississippi,October-December 2024,"October 1, 2024",18000,34000,8000,24,60,,(X),9.0,11.3,18.6,1.0,(Z),5.4,
Montana,October-December 2024,"October 1, 2024",95000,99000,15500,16,1000,,(X),25.8,,1.8,18.5,9.8,0.7,
New York,October-December 2024,"October 1, 2024",44000,46000,3200,7,630,1000,2,31.5,7.1,2.5,1.9,2.9,3.6,
North Carolina,October-December 2024,"October 1, 2024",26000,26000,2900,11,570,2100,8,20.7,11.2,(Z),1.1,1.9,2.9,
North Dakota,October-December 2024,"October 1, 2024",360000,365000,19000,5,2200,14000,4,34.2,2.0,6.8,2.7,1.8,1.2,
Ohio,October-December 2024,"October 1, 2024",26000,26000,3200,12,200,3100,12,53.5,6.6,1.8,1.6,4.2,8.2,
Oregon,October-December 2024,"October 1, 2024",103000,104000,18000,17,5000,4800,5,45.8,1.1,(Z),3.9,(Z),1.6,
Other States,October-December 2024,"October 1, 2024",5,343040,454980,54270,12,6190,4550,29.8,13.4,8.9,8.3,13.9,11.2,
Pennsylvania,October-December 2024,"October 1, 2024",29000,29000,2000,7,360,580,2,30.3,13.3,2.7,7.3,4.4,2.3,
South Dakota,October-December 2024,"October 1, 2024",199000,200000,20000,10,200,2200,1,12.6,(Z),1.1,19.7,0.6,0.8,
Texas,October-December 2024,"October 1, 2024",101000,190000,17000,9,1900,390,(Z),27.8,11.1,5.9,8.4,8.0,4.7,
United States,October-December 2024,"October 1, 2024",2932040,(X),403270,14,128030,119180,4,29.5,7.1,5.1,7.3,6.9,6.2,133770
Washington,October-December 2024,"October 1, 2024",87000,106000,14000,13,3600,9000,8,34.5,14.3,4.5,3.8,0.7,11.8,
Wisconsin,October-December 2024,"October 1, 2024",56000,56000,8500,15,260,230,(Z),24.4,0.7,6.9,(Z),1.7,4.9,
